customerid,avg_invoice_amt,total_invoice_amt,invoice_count,total_units,country
17189,5.98,227.22,38,103,"United Kingdom"
16250,16.15,226.14,14,108,"United Kingdom"
13255,37.62,225.70,6,110,"United Kingdom"
16477,16.12,225.65,14,125,"United Kingdom"
14744,75.00,225.00,3,148,"United Kingdom"
13240,10.67,224.07,21,131,"United Kingdom"
14390,8.29,223.70,27,74,"United Kingdom"
13094,74.56,223.68,3,192,"United Kingdom"
17799,6.77,223.48,33,133,"United Kingdom"
13126,17.19,223.44,13,120,"United Kingdom"
17287,10.12,222.70,22,108,"United Kingdom"
15290,27.45,219.60,8,168,"United Kingdom"
16019,27.39,219.10,8,60,"United Kingdom"
16927,109.05,218.10,2,490,"United Kingdom"
17913,7.03,218.05,31,100,"United Kingdom"
17812,6.59,217.55,33,144,"United Kingdom"
14414,27.15,217.20,8,146,"United Kingdom"
16470,5.55,216.34,39,99,"United Kingdom"
17135,23.95,215.58,9,222,"United Kingdom"
17873,23.91,215.15,9,129,"United Kingdom"
16153,21.50,215.01,10,75,"United Kingdom"
16805,3.90,214.77,55,270,"United Kingdom"
13959,13.42,214.74,16,118,"United Kingdom"
17869,13.40,214.32,16,67,"United Kingdom"
16711,214.20,214.20,1,36,"United Kingdom"
17126,3.43,212.60,62,88,"United Kingdom"
16402,3.72,211.80,57,105,"United Kingdom"
14449,4.20,210.24,50,142,"United Kingdom"
15953,13.12,209.84,16,101,"United Kingdom"
15660,20.93,209.30,10,110,"United Kingdom"
15062,19.01,209.08,11,164,"United Kingdom"
17855,12.29,208.97,17,197,"United Kingdom"
16752,23.06,207.50,9,54,"United Kingdom"
17007,17.26,207.12,12,104,"United Kingdom"
18156,3.75,206.23,55,73,"United Kingdom"
13065,14.70,205.86,14,74,"United Kingdom"
15021,3.88,205.64,53,94,"United Kingdom"
13748,204.00,204.00,1,80,"United Kingdom"
14608,204.00,204.00,1,48,"United Kingdom"
12868,16.94,203.30,12,112,"United Kingdom"
15723,4.95,203.10,41,87,"United Kingdom"
12989,202.50,202.50,1,30,"United Kingdom"
13000,18.34,201.75,11,77,"United Kingdom"
17905,8.77,201.75,23,72,"United Kingdom"
15347,40.32,201.60,5,130,"United Kingdom"
13295,20.12,201.20,10,82,"United Kingdom"
12915,15.36,199.65,13,41,"United Kingdom"
18075,16.58,198.95,12,117,"United Kingdom"
16916,3.96,198.08,50,103,"United Kingdom"
13649,13.19,197.80,15,67,"United Kingdom"
12708,14.03,196.44,14,89,Germany
13491,16.37,196.40,12,54,"United Kingdom"
12577,2.92,195.89,67,134,France
15605,16.24,194.85,12,71,"United Kingdom"
16458,19.39,193.90,10,86,"United Kingdom"
17343,11.39,193.64,17,56,"United Kingdom"
13138,13.80,193.23,14,125,"United Kingdom"
14159,3.79,193.22,51,114,"United Kingdom"
12791,96.30,192.60,2,97,Netherlands
15012,3.54,191.06,54,86,"United Kingdom"
15827,13.64,190.93,14,109,"United Kingdom"
16885,6.35,190.65,30,37,"United Kingdom"
13033,17.32,190.55,11,83,"United Kingdom"
13890,17.30,190.35,11,93,"United Kingdom"
17999,5.01,190.34,38,94,"United Kingdom"
15646,11.16,189.80,17,230,"United Kingdom"
14236,63.10,189.30,3,38,"United Kingdom"
16955,27.01,189.10,7,100,"United Kingdom"
15246,15.50,186.00,12,86,"United Kingdom"
15028,13.28,185.97,14,119,"United Kingdom"
13092,26.49,185.45,7,31,"United Kingdom"
14082,6.28,182.25,29,110,"United Kingdom"
16907,5.35,182.02,34,68,"United Kingdom"
18119,6.04,181.12,30,125,"United Kingdom"
15945,90.50,181.00,2,52,"United Kingdom"
14810,7.85,180.44,23,84,"United Kingdom"
14766,30.07,180.40,6,64,"United Kingdom"
12691,36.00,180.00,5,65,France
15454,7.16,179.10,25,86,"United Kingdom"
17470,16.22,178.40,11,112,"United Kingdom"
13668,12.69,177.66,14,66,"United Kingdom"
16086,22.16,177.26,8,76,"United Kingdom"
15780,14.76,177.15,12,65,"United Kingdom"
15107,22.13,177.05,8,69,"United Kingdom"
12931,88.50,177.00,2,220,"United Kingdom"
17696,25.09,175.60,7,88,"United Kingdom"
17097,4.37,174.72,40,67,Spain
14479,17.44,174.40,10,58,"United Kingdom"
14355,15.85,174.40,11,92,"United Kingdom"
16565,57.90,173.70,3,46,"United Kingdom"
12441,15.78,173.55,11,121,France
17760,19.17,172.54,9,165,"United Kingdom"
16950,57.33,172.00,3,32,"United Kingdom"
15713,19.02,171.15,9,59,"United Kingdom"
17214,12.22,171.05,14,43,"United Kingdom"
16367,4.62,170.91,37,91,"United Kingdom"
16203,15.52,170.70,11,70,"United Kingdom"
16899,10.66,170.55,16,75,"United Kingdom"
12726,28.38,170.28,6,333,France
18004,4.24,169.47,40,78,"United Kingdom"
18269,24.09,168.60,7,76,"United Kingdom"
14684,3.83,168.36,44,70,"United Kingdom"
17990,24.00,168.00,7,72,"United Kingdom"
12551,16.80,168.00,10,100,Spain
16221,13.90,166.74,12,52,"United Kingdom"
14498,11.87,166.22,14,70,"United Kingdom"
14215,27.67,166.00,6,104,"United Kingdom"
13173,7.21,165.94,23,114,"United Kingdom"
13034,15.08,165.86,11,116,"United Kingdom"
17454,18.43,165.85,9,59,"United Kingdom"
15288,6.37,165.65,26,66,"United Kingdom"
15235,18.34,165.05,9,59,"United Kingdom"
16634,20.60,164.80,8,64,"United Kingdom"
13579,18.30,164.70,9,46,"United Kingdom"
16863,18.25,164.25,9,105,"United Kingdom"
16983,18.17,163.49,9,107,"United Kingdom"
14987,81.60,163.20,2,64,"United Kingdom"
14237,17.89,161.00,9,38,"United Kingdom"
17025,32.19,160.97,5,139,"United Kingdom"
14176,17.73,159.55,9,61,"United Kingdom"
13140,9.97,159.51,16,75,"United Kingdom"
12481,15.94,159.38,10,85,Germany
15160,39.54,158.16,4,84,"United Kingdom"
16081,7.16,157.60,22,53,"United Kingdom"
13021,22.48,157.35,7,57,"United Kingdom"
17965,6.53,156.80,24,62,"United Kingdom"
15894,4.12,156.74,38,115,"United Kingdom"
18016,8.24,156.65,19,65,"United Kingdom"
15965,9.76,156.19,16,74,"United Kingdom"
17181,77.76,155.52,2,216,"United Kingdom"
14813,5.18,155.43,30,67,"United Kingdom"
12738,14.12,155.35,11,148,Germany
15881,38.81,155.25,4,103,"United Kingdom"
12826,17.22,155.00,9,80,"United Kingdom"
13984,30.96,154.80,5,120,"United Kingdom"
13497,17.06,153.50,9,54,"United Kingdom"
15602,38.14,152.55,4,105,"United Kingdom"
16442,3.30,151.66,46,63,"United Kingdom"
17076,21.64,151.50,7,58,"United Kingdom"
13963,21.61,151.30,7,54,"United Kingdom"
12877,10.72,150.06,14,170,"United Kingdom"
16385,7.06,148.23,21,70,"United Kingdom"
14309,24.62,147.75,6,103,"United Kingdom"
16233,73.70,147.40,2,12,"United Kingdom"
15503,2.10,147.09,70,74,"United Kingdom"
16893,3.24,145.93,45,62,"United Kingdom"
17524,24.17,145.00,6,90,"United Kingdom"
17227,14.22,142.25,10,92,"United Kingdom"
15079,35.49,141.95,4,45,"United Kingdom"
14871,5.62,140.40,25,38,"United Kingdom"
15732,27.62,138.10,5,97,"United Kingdom"
14078,10.48,136.24,13,29,"United Kingdom"
13305,27.24,136.20,5,132,"United Kingdom"
16665,15.04,135.40,9,59,"United Kingdom"
15545,4.37,135.33,31,75,"United Kingdom"
17288,19.08,133.56,7,156,"United Kingdom"
14404,5.13,133.48,26,57,"United Kingdom"
16271,8.33,133.22,16,128,"United Kingdom"
12793,18.83,131.80,7,65,Portugal
16411,6.26,131.50,21,70,"United Kingdom"
17420,18.69,130.85,7,53,"United Kingdom"
16679,43.25,129.75,3,29,"United Kingdom"
16726,6.48,129.57,20,57,"United Kingdom"
12808,18.49,129.40,7,53,Portugal
17954,8.58,128.68,15,62,"United Kingdom"
16883,7.53,128.03,17,54,"United Kingdom"
17961,4.40,127.55,29,45,"United Kingdom"
14491,31.80,127.20,4,40,"United Kingdom"
15923,6.05,127.08,21,122,"United Kingdom"
17324,21.18,127.05,6,51,"United Kingdom"
15038,3.61,126.43,35,46,"United Kingdom"
17236,14.03,126.28,9,67,"United Kingdom"
17969,17.89,125.20,7,131,"United Kingdom"
14487,9.62,125.10,13,37,"United Kingdom"
14985,2.49,124.51,50,89,"United Kingdom"
16140,17.73,124.14,7,104,"United Kingdom"
14419,5.91,124.10,21,55,"United Kingdom"
16658,15.40,123.24,8,40,"United Kingdom"
15304,24.63,123.15,5,21,"United Kingdom"
17967,2.56,123.07,48,80,"United Kingdom"
15984,24.54,122.70,5,56,"United Kingdom"
14413,5.33,122.70,23,68,"United Kingdom"
16596,20.11,120.65,6,47,"United Kingdom"
13569,4.93,118.32,24,44,"United Kingdom"
14217,16.90,118.30,7,26,"United Kingdom"
16059,6.57,118.25,18,51,"United Kingdom"
16928,19.38,116.25,6,93,"United Kingdom"
16898,3.63,116.08,32,98,"United Kingdom"
15350,23.13,115.65,5,51,"United Kingdom"
17796,6.03,114.65,19,28,"United Kingdom"
15987,12.61,113.48,9,86,"United Kingdom"
17430,22.52,112.60,5,60,"United Kingdom"
13807,16.09,112.60,7,36,"United Kingdom"
14037,4.30,111.80,26,34,"United Kingdom"
15271,4.66,111.75,24,78,"United Kingdom"
15018,22.25,111.25,5,21,"United Kingdom"
15081,13.89,111.15,8,57,"United Kingdom"
17917,3.82,110.91,29,56,"United Kingdom"
13211,55.35,110.70,2,46,"United Kingdom"
14396,3.25,110.35,34,39,"United Kingdom"
16010,4.59,110.10,24,46,"United Kingdom"
17375,5.22,109.71,21,69,"United Kingdom"
17315,4.03,108.92,27,60,"United Kingdom"
13787,15.20,106.40,7,56,"United Kingdom"
15070,106.20,106.20,1,36,"United Kingdom"
16122,10.57,105.72,10,118,"United Kingdom"
15366,13.19,105.54,8,61,"United Kingdom"
16519,20.74,103.70,5,24,"United Kingdom"
14866,103.68,103.68,1,144,"United Kingdom"
15689,17.25,103.50,6,56,"United Kingdom"
18011,3.67,102.79,28,71,"United Kingdom"
15860,6.84,102.66,15,72,"United Kingdom"
14448,5.69,102.35,18,44,"United Kingdom"
15101,25.57,102.28,4,34,"United Kingdom"
17720,102.00,102.00,1,24,"United Kingdom"
13948,34.00,102.00,3,40,"United Kingdom"
17643,12.69,101.55,8,71,"United Kingdom"
15512,16.87,101.20,6,56,"United Kingdom"
17802,8.35,100.20,12,75,"United Kingdom"
15048,4.29,98.70,23,32,"United Kingdom"
14898,32.83,98.50,3,18,"United Kingdom"
13880,16.30,97.80,6,54,"United Kingdom"
17371,12.20,97.63,8,40,"United Kingdom"
17848,19.46,97.30,5,22,"United Kingdom"
15759,24.31,97.24,4,32,"United Kingdom"
16552,19.06,95.29,5,39,"United Kingdom"
13230,7.19,93.45,13,33,"United Kingdom"
16531,15.47,92.82,6,74,"United Kingdom"
15769,91.80,91.80,1,36,"United Kingdom"
13238,18.23,91.15,5,33,"United Kingdom"
12686,12.73,89.14,7,107,France
15180,14.58,87.50,6,36,"United Kingdom"
12829,17.15,85.75,5,125,"United Kingdom"
16835,16.35,81.75,5,19,"United Kingdom"
17752,80.64,80.64,1,192,"United Kingdom"
13747,79.60,79.60,1,8,"United Kingdom"
14373,19.14,76.55,4,17,"United Kingdom"
18113,76.32,76.32,1,72,"United Kingdom"
16816,15.16,75.78,5,48,"United Kingdom"
18050,14.88,74.40,5,40,"United Kingdom"
18044,12.38,74.25,6,53,"United Kingdom"
14646,4.44,70.96,16,46,Netherlands
16638,23.60,70.80,3,48,"United Kingdom"
17572,17.70,70.80,4,24,"United Kingdom"
17460,35.15,70.30,2,26,"United Kingdom"
16306,34.05,68.10,2,30,"United Kingdom"
14201,16.81,67.24,4,132,"United Kingdom"
14437,12.60,63.00,5,60,"United Kingdom"
12494,15.64,62.55,4,12,France
17339,15.00,60.00,4,16,"United Kingdom"
15899,14.06,56.25,4,39,"United Kingdom"
13011,16.85,50.55,3,13,"United Kingdom"
14821,24.40,48.80,2,20,"United Kingdom"
17580,15.62,46.85,3,11,"United Kingdom"
14589,13.25,39.75,3,5,"United Kingdom"
12855,12.70,38.10,3,30,"United Kingdom"
14865,12.40,37.20,3,96,"United Kingdom"
14576,35.40,35.40,1,12,"United Kingdom"
17026,11.05,33.15,3,25,"United Kingdom"
18037,5.22,31.30,6,6,"United Kingdom"
18225,15.00,30.00,2,16,"United Kingdom"
17888,9.81,29.43,3,52,"United Kingdom"
17816,1.62,16.21,10,16,"United Kingdom"
15823,15.00,15.00,1,1,"United Kingdom"
12476,6.22,12.45,2,2,Germany
